gene_name,gene_id,Transcript Flag,num_tss,num_tss_binned
FCMR,ENSG00000162894.12,GENCODE Primary,2,2
FCMR,ENSG00000162894.12,Protein Coding (contains an ORF),6,6
FCN1,ENSG00000085265.12,GENCODE Basic,1,1
FCN1,ENSG00000085265.12,GENCODE Comprehensive,1,1
FCN1,ENSG00000085265.12,GENCODE Primary,1,1
FCN1,ENSG00000085265.12,Protein Coding (contains an ORF),1,1
FCN2,ENSG00000160339.16,GENCODE Basic,2,2
FCN2,ENSG00000160339.16,GENCODE Comprehensive,2,2
FCN2,ENSG00000160339.16,GENCODE Primary,2,2
FCN2,ENSG00000160339.16,Protein Coding (contains an ORF),2,2
FCN3,ENSG00000142748.14,GENCODE Basic,2,2
FCN3,ENSG00000142748.14,GENCODE Comprehensive,5,5
FCN3,ENSG00000142748.14,GENCODE Primary,1,1
FCN3,ENSG00000142748.14,Protein Coding (contains an ORF),2,2
FCRL1,ENSG00000163534.16,GENCODE Basic,3,3
FCRL1,ENSG00000163534.16,GENCODE Comprehensive,8,8
FCRL1,ENSG00000163534.16,GENCODE Primary,3,3
FCRL1,ENSG00000163534.16,Protein Coding (contains an ORF),3,3
FCRL2,ENSG00000132704.16,GENCODE Basic,2,2
FCRL2,ENSG00000132704.16,GENCODE Comprehensive,3,3
FCRL2,ENSG00000132704.16,GENCODE Primary,1,1
FCRL2,ENSG00000132704.16,Protein Coding (contains an ORF),2,2
FCRL3,ENSG00000160856.21,GENCODE Basic,2,2
FCRL3,ENSG00000160856.21,GENCODE Comprehensive,9,9
FCRL3,ENSG00000160856.21,GENCODE Primary,1,1
FCRL3,ENSG00000160856.21,Protein Coding (contains an ORF),3,3
FCRL4,ENSG00000163518.11,GENCODE Basic,1,1
FCRL4,ENSG00000163518.11,GENCODE Comprehensive,3,3
FCRL4,ENSG00000163518.11,GENCODE Primary,1,1
FCRL4,ENSG00000163518.11,Protein Coding (contains an ORF),1,1
FCRL5,ENSG00000143297.19,GENCODE Basic,2,2
FCRL5,ENSG00000143297.19,GENCODE Comprehensive,7,7
FCRL5,ENSG00000143297.19,GENCODE Primary,2,2
FCRL5,ENSG00000143297.19,Protein Coding (contains an ORF),2,2
FCRL6,ENSG00000181036.14,GENCODE Basic,4,4
FCRL6,ENSG00000181036.14,GENCODE Comprehensive,6,6
FCRL6,ENSG00000181036.14,GENCODE Primary,3,3
FCRL6,ENSG00000181036.14,Protein Coding (contains an ORF),4,4
FCRLA,ENSG00000132185.18,GENCODE Basic,5,5
FCRLA,ENSG00000132185.18,GENCODE Comprehensive,8,8
FCRLA,ENSG00000132185.18,GENCODE Primary,3,3
FCRLA,ENSG00000132185.18,Protein Coding (contains an ORF),6,6
FCRLB,ENSG00000162746.15,GENCODE Basic,2,2
FCRLB,ENSG00000162746.15,GENCODE Comprehensive,3,3
FCRLB,ENSG00000162746.15,GENCODE Primary,2,2
FCRLB,ENSG00000162746.15,Protein Coding (contains an ORF),2,2
FCSK,ENSG00000157353.17,GENCODE Basic,1,1
FCSK,ENSG00000157353.17,GENCODE Comprehensive,5,5
FCSK,ENSG00000157353.17,GENCODE Primary,1,1
FCSK,ENSG00000157353.17,Protein Coding (contains an ORF),2,2
FDCSP,ENSG00000181617.6,GENCODE Basic,1,1
FDCSP,ENSG00000181617.6,GENCODE Comprehensive,1,1
FDCSP,ENSG00000181617.6,GENCODE Primary,1,1
FDCSP,ENSG00000181617.6,Protein Coding (contains an ORF),1,1
FDFT1,ENSG00000079459.14,GENCODE Basic,10,10
FDFT1,ENSG00000079459.14,GENCODE Comprehensive,19,>10
FDFT1,ENSG00000079459.14,GENCODE Primary,4,4
FDFT1,ENSG00000079459.14,Protein Coding (contains an ORF),11,>10
FDPS,ENSG00000160752.15,GENCODE Basic,6,6
FDPS,ENSG00000160752.15,GENCODE Comprehensive,20,>10
FDPS,ENSG00000160752.15,GENCODE Primary,5,5
FDPS,ENSG00000160752.15,Protein Coding (contains an ORF),8,8
FDX1,ENSG00000137714.3,GENCODE Basic,1,1
FDX1,ENSG00000137714.3,GENCODE Comprehensive,1,1
FDX1,ENSG00000137714.3,GENCODE Primary,1,1
FDX1,ENSG00000137714.3,Protein Coding (contains an ORF),1,1
FDX2,ENSG00000267673.7,GENCODE Basic,2,2
FDX2,ENSG00000267673.7,GENCODE Comprehensive,6,6
FDX2,ENSG00000267673.7,GENCODE Primary,1,1
FDX2,ENSG00000267673.7,Protein Coding (contains an ORF),2,2
FDXACB1,ENSG00000255561.7,GENCODE Basic,1,1
FDXACB1,ENSG00000255561.7,GENCODE Comprehensive,3,3
FDXACB1,ENSG00000255561.7,GENCODE Primary,1,1
FDXACB1,ENSG00000255561.7,Protein Coding (contains an ORF),2,2
FDXR,ENSG00000161513.12,GENCODE Basic,8,8
FDXR,ENSG00000161513.12,GENCODE Comprehensive,15,>10
FDXR,ENSG00000161513.12,GENCODE Primary,6,6
FDXR,ENSG00000161513.12,Protein Coding (contains an ORF),10,10
FECH,ENSG00000066926.13,GENCODE Basic,2,2
FECH,ENSG00000066926.13,GENCODE Comprehensive,12,>10
FECH,ENSG00000066926.13,GENCODE Primary,1,1
FECH,ENSG00000066926.13,Protein Coding (contains an ORF),4,4
FEM1A,ENSG00000141965.5,GENCODE Basic,1,1
FEM1A,ENSG00000141965.5,GENCODE Comprehensive,1,1
FEM1A,ENSG00000141965.5,GENCODE Primary,1,1
FEM1A,ENSG00000141965.5,Protein Coding (contains an ORF),1,1
FEM1B,ENSG00000169018.6,GENCODE Basic,1,1
FEM1B,ENSG00000169018.6,GENCODE Comprehensive,4,4
FEM1B,ENSG00000169018.6,GENCODE Primary,1,1
FEM1B,ENSG00000169018.6,Protein Coding (contains an ORF),4,4
FEM1C,ENSG00000145780.8,GENCODE Basic,1,1
FEM1C,ENSG00000145780.8,GENCODE Comprehensive,1,1
FEM1C,ENSG00000145780.8,GENCODE Primary,1,1
FEM1C,ENSG00000145780.8,Protein Coding (contains an ORF),1,1
FEN1,ENSG00000168496.4,GENCODE Basic,1,1
FEN1,ENSG00000168496.4,GENCODE Comprehensive,3,3
FEN1,ENSG00000168496.4,GENCODE Primary,1,1
FEN1,ENSG00000168496.4,Protein Coding (contains an ORF),3,3
FER,ENSG00000151422.14,GENCODE Basic,3,3
FER,ENSG00000151422.14,GENCODE Comprehensive,9,9
FER,ENSG00000151422.14,GENCODE Primary,2,2
FER,ENSG00000151422.14,Protein Coding (contains an ORF),3,3
FER1L5,ENSG00000249715.13,GENCODE Basic,2,2
FER1L5,ENSG00000249715.13,GENCODE Comprehensive,4,4
FER1L5,ENSG00000249715.13,GENCODE Primary,2,2
FER1L5,ENSG00000249715.13,Protein Coding (contains an ORF),2,2
FER1L6,ENSG00000214814.7,GENCODE Basic,1,1
FER1L6,ENSG00000214814.7,GENCODE Comprehensive,1,1
FER1L6,ENSG00000214814.7,GENCODE Primary,1,1
FER1L6,ENSG00000214814.7,Protein Coding (contains an ORF),1,1
FERD3L,ENSG00000146618.3,GENCODE Basic,1,1
FERD3L,ENSG00000146618.3,GENCODE Comprehensive,1,1
FERD3L,ENSG00000146618.3,GENCODE Primary,1,1
FERD3L,ENSG00000146618.3,Protein Coding (contains an ORF),1,1
FERMT1,ENSG00000101311.17,GENCODE Basic,3,3
FERMT1,ENSG00000101311.17,GENCODE Comprehensive,7,7
FERMT1,ENSG00000101311.17,GENCODE Primary,3,3
FERMT1,ENSG00000101311.17,Protein Coding (contains an ORF),3,3
FERMT2,ENSG00000073712.15,GENCODE Basic,5,5
FERMT2,ENSG00000073712.15,GENCODE Comprehensive,15,>10
FERMT2,ENSG00000073712.15,GENCODE Primary,4,4
FERMT2,ENSG00000073712.15,Protein Coding (contains an ORF),11,>10
FERMT3,ENSG00000149781.14,GENCODE Basic,12,>10
FERMT3,ENSG00000149781.14,GENCODE Comprehensive,37,>10
FERMT3,ENSG00000149781.14,GENCODE Primary,7,7
FERMT3,ENSG00000149781.14,Protein Coding (contains an ORF),13,>10
FERRY3,ENSG00000047621.12,GENCODE Basic,2,2
FERRY3,ENSG00000047621.12,GENCODE Comprehensive,7,7
FERRY3,ENSG00000047621.12,GENCODE Primary,1,1
FERRY3,ENSG00000047621.12,Protein Coding (contains an ORF),3,3
FES,ENSG00000182511.12,GENCODE Basic,4,4
FES,ENSG00000182511.12,GENCODE Comprehensive,12,>10
FES,ENSG00000182511.12,GENCODE Primary,4,4
FES,ENSG00000182511.12,Protein Coding (contains an ORF),6,6
FETUB,ENSG00000090512.12,GENCODE Basic,4,4
FETUB,ENSG00000090512.12,GENCODE Comprehensive,7,7
FETUB,ENSG00000090512.12,GENCODE Primary,3,3
FETUB,ENSG00000090512.12,Protein Coding (contains an ORF),4,4
FEV,ENSG00000163497.3,GENCODE Basic,1,1
FEV,ENSG00000163497.3,GENCODE Comprehensive,2,2
FEV,ENSG00000163497.3,GENCODE Primary,1,1
FEV,ENSG00000163497.3,Protein Coding (contains an ORF),1,1
FEZ1,ENSG00000149557.14,GENCODE Basic,4,4
FEZ1,ENSG00000149557.14,GENCODE Comprehensive,17,>10
FEZ1,ENSG00000149557.14,GENCODE Primary,2,2
FEZ1,ENSG00000149557.14,Protein Coding (contains an ORF),6,6
FEZ2,ENSG00000171055.15,GENCODE Basic,3,3
FEZ2,ENSG00000171055.15,GENCODE Comprehensive,16,>10
FEZ2,ENSG00000171055.15,GENCODE Primary,2,2
FEZ2,ENSG00000171055.15,Protein Coding (contains an ORF),5,5
FEZF1,ENSG00000128610.12,GENCODE Basic,2,2
FEZF1,ENSG00000128610.12,GENCODE Comprehensive,3,3
FEZF1,ENSG00000128610.12,GENCODE Primary,2,2
FEZF1,ENSG00000128610.12,Protein Coding (contains an ORF),3,3
FEZF2,ENSG00000153266.13,GENCODE Basic,3,3
FEZF2,ENSG00000153266.13,GENCODE Comprehensive,3,3
FEZF2,ENSG00000153266.13,GENCODE Primary,2,2
FEZF2,ENSG00000153266.13,Protein Coding (contains an ORF),3,3
FFAR1,ENSG00000126266.4,GENCODE Basic,1,1
FFAR1,ENSG00000126266.4,GENCODE Comprehensive,1,1
FFAR1,ENSG00000126266.4,GENCODE Primary,1,1
FFAR1,ENSG00000126266.4,Protein Coding (contains an ORF),1,1
FFAR2,ENSG00000126262.5,GENCODE Basic,2,2
FFAR2,ENSG00000126262.5,GENCODE Comprehensive,3,3
FFAR2,ENSG00000126262.5,GENCODE Primary,1,1
FFAR2,ENSG00000126262.5,Protein Coding (contains an ORF),2,2
FFAR3,ENSG00000185897.7,GENCODE Basic,2,2
FFAR3,ENSG00000185897.7,GENCODE Comprehensive,2,2
FFAR3,ENSG00000185897.7,GENCODE Primary,1,1
FFAR3,ENSG00000185897.7,Protein Coding (contains an ORF),2,2
FFAR4,ENSG00000186188.11,GENCODE Basic,2,2
FFAR4,ENSG00000186188.11,GENCODE Comprehensive,2,2
FFAR4,ENSG00000186188.11,GENCODE Primary,1,1
FFAR4,ENSG00000186188.11,Protein Coding (contains an ORF),2,2
FGA,ENSG00000171560.18,GENCODE Basic,1,1
FGA,ENSG00000171560.18,GENCODE Comprehensive,1,1
FGA,ENSG00000171560.18,GENCODE Primary,1,1
FGA,ENSG00000171560.18,Protein Coding (contains an ORF),1,1
FGB,ENSG00000171564.12,GENCODE Basic,2,2
FGB,ENSG00000171564.12,GENCODE Comprehensive,6,6
FGB,ENSG00000171564.12,GENCODE Primary,1,1
FGB,ENSG00000171564.12,Protein Coding (contains an ORF),2,2
FGD1,ENSG00000102302.8,GENCODE Basic,1,1
FGD1,ENSG00000102302.8,GENCODE Comprehensive,1,1
FGD1,ENSG00000102302.8,GENCODE Primary,1,1
FGD1,ENSG00000102302.8,Protein Coding (contains an ORF),1,1
FGD2,ENSG00000146192.16,GENCODE Basic,1,1
FGD2,ENSG00000146192.16,GENCODE Comprehensive,9,9
FGD2,ENSG00000146192.16,GENCODE Primary,1,1
FGD2,ENSG00000146192.16,Protein Coding (contains an ORF),1,1
FGD3,ENSG00000127084.19,GENCODE Basic,4,4
FGD3,ENSG00000127084.19,GENCODE Comprehensive,8,8
FGD3,ENSG00000127084.19,GENCODE Primary,2,2
FGD3,ENSG00000127084.19,Protein Coding (contains an ORF),4,4
FGD4,ENSG00000139132.16,GENCODE Basic,9,9
FGD4,ENSG00000139132.16,GENCODE Comprehensive,19,>10
FGD4,ENSG00000139132.16,GENCODE Primary,3,3
FGD4,ENSG00000139132.16,Protein Coding (contains an ORF),9,9
FGD5,ENSG00000154783.12,GENCODE Basic,1,1
FGD5,ENSG00000154783.12,GENCODE Comprehensive,6,6
FGD5,ENSG00000154783.12,GENCODE Primary,1,1
FGD5,ENSG00000154783.12,Protein Coding (contains an ORF),3,3
FGD6,ENSG00000180263.14,GENCODE Basic,3,3
FGD6,ENSG00000180263.14,GENCODE Comprehensive,7,7
FGD6,ENSG00000180263.14,GENCODE Primary,2,2
FGD6,ENSG00000180263.14,Protein Coding (contains an ORF),5,5
FGF1,ENSG00000113578.18,GENCODE Basic,10,10
FGF1,ENSG00000113578.18,GENCODE Comprehensive,13,>10
FGF1,ENSG00000113578.18,GENCODE Primary,3,3
FGF1,ENSG00000113578.18,Protein Coding (contains an ORF),12,>10
FGF10,ENSG00000070193.5,GENCODE Basic,1,1
FGF10,ENSG00000070193.5,GENCODE Comprehensive,2,2
FGF10,ENSG00000070193.5,GENCODE Primary,1,1
FGF10,ENSG00000070193.5,Protein Coding (contains an ORF),2,2
FGF11,ENSG00000161958.11,GENCODE Basic,5,5
FGF11,ENSG00000161958.11,GENCODE Comprehensive,6,6
FGF11,ENSG00000161958.11,GENCODE Primary,3,3
FGF11,ENSG00000161958.11,Protein Coding (contains an ORF),5,5
FGF12,ENSG00000114279.15,GENCODE Basic,7,7
FGF12,ENSG00000114279.15,GENCODE Comprehensive,11,>10
FGF12,ENSG00000114279.15,GENCODE Primary,4,4
FGF12,ENSG00000114279.15,Protein Coding (contains an ORF),8,8
FGF13,ENSG00000129682.16,GENCODE Basic,4,4
FGF13,ENSG00000129682.16,GENCODE Comprehensive,7,7
FGF13,ENSG00000129682.16,GENCODE Primary,4,4
FGF13,ENSG00000129682.16,Protein Coding (contains an ORF),7,7
FGF14,ENSG00000102466.17,GENCODE Basic,4,4
FGF14,ENSG00000102466.17,GENCODE Comprehensive,7,7
FGF14,ENSG00000102466.17,GENCODE Primary,2,2
FGF14,ENSG00000102466.17,Protein Coding (contains an ORF),4,4
FGF16,ENSG00000196468.8,GENCODE Basic,1,1
FGF16,ENSG00000196468.8,GENCODE Comprehensive,1,1
FGF16,ENSG00000196468.8,GENCODE Primary,1,1
FGF16,ENSG00000196468.8,Protein Coding (contains an ORF),1,1
FGF17,ENSG00000158815.11,GENCODE Basic,2,2
FGF17,ENSG00000158815.11,GENCODE Comprehensive,4,4
FGF17,ENSG00000158815.11,GENCODE Primary,2,2
FGF17,ENSG00000158815.11,Protein Coding (contains an ORF),2,2
FGF18,ENSG00000156427.8,GENCODE Basic,1,1
FGF18,ENSG00000156427.8,GENCODE Comprehensive,1,1
FGF18,ENSG00000156427.8,GENCODE Primary,1,1
FGF18,ENSG00000156427.8,Protein Coding (contains an ORF),1,1
FGF19,ENSG00000162344.4,GENCODE Basic,1,1
FGF19,ENSG00000162344.4,GENCODE Comprehensive,1,1
FGF19,ENSG00000162344.4,GENCODE Primary,1,1
FGF19,ENSG00000162344.4,Protein Coding (contains an ORF),1,1
FGF2,ENSG00000138685.18,GENCODE Basic,2,2
FGF2,ENSG00000138685.18,GENCODE Comprehensive,2,2
FGF2,ENSG00000138685.18,GENCODE Primary,1,1
FGF2,ENSG00000138685.18,Protein Coding (contains an ORF),2,2
FGF20,ENSG00000078579.9,GENCODE Basic,1,1
FGF20,ENSG00000078579.9,GENCODE Comprehensive,2,2
FGF20,ENSG00000078579.9,GENCODE Primary,1,1
FGF20,ENSG00000078579.9,Protein Coding (contains an ORF),2,2
FGF21,ENSG00000105550.10,GENCODE Basic,2,2
FGF21,ENSG00000105550.10,GENCODE Comprehensive,2,2
FGF21,ENSG00000105550.10,GENCODE Primary,2,2
FGF21,ENSG00000105550.10,Protein Coding (contains an ORF),2,2
FGF22,ENSG00000070388.12,GENCODE Basic,2,2
FGF22,ENSG00000070388.12,GENCODE Comprehensive,2,2
FGF22,ENSG00000070388.12,GENCODE Primary,1,1
FGF22,ENSG00000070388.12,Protein Coding (contains an ORF),2,2
FGF23,ENSG00000118972.3,GENCODE Basic,1,1
FGF23,ENSG00000118972.3,GENCODE Comprehensive,2,2
FGF23,ENSG00000118972.3,GENCODE Primary,1,1
FGF23,ENSG00000118972.3,Protein Coding (contains an ORF),1,1
FGF3,ENSG00000186895.4,GENCODE Basic,1,1
FGF3,ENSG00000186895.4,GENCODE Comprehensive,2,2
FGF3,ENSG00000186895.4,GENCODE Primary,1,1
FGF3,ENSG00000186895.4,Protein Coding (contains an ORF),1,1
FGF4,ENSG00000075388.4,GENCODE Basic,1,1
FGF4,ENSG00000075388.4,GENCODE Comprehensive,2,2
FGF4,ENSG00000075388.4,GENCODE Primary,1,1
FGF4,ENSG00000075388.4,Protein Coding (contains an ORF),1,1
FGF5,ENSG00000138675.17,GENCODE Basic,2,2
FGF5,ENSG00000138675.17,GENCODE Comprehensive,5,5
FGF5,ENSG00000138675.17,GENCODE Primary,2,2
FGF5,ENSG00000138675.17,Protein Coding (contains an ORF),2,2
FGF6,ENSG00000111241.3,GENCODE Basic,1,1
FGF6,ENSG00000111241.3,GENCODE Comprehensive,3,3
FGF6,ENSG00000111241.3,GENCODE Primary,1,1
FGF6,ENSG00000111241.3,Protein Coding (contains an ORF),2,2
FGF7,ENSG00000140285.12,GENCODE Basic,2,2
FGF7,ENSG00000140285.12,GENCODE Comprehensive,4,4
FGF7,ENSG00000140285.12,GENCODE Primary,2,2
FGF7,ENSG00000140285.12,Protein Coding (contains an ORF),3,3
FGF8,ENSG00000107831.14,GENCODE Basic,4,4
FGF8,ENSG00000107831.14,GENCODE Comprehensive,6,6
FGF8,ENSG00000107831.14,GENCODE Primary,3,3
FGF8,ENSG00000107831.14,Protein Coding (contains an ORF),4,4
FGF9,ENSG00000102678.7,GENCODE Basic,1,1
FGF9,ENSG00000102678.7,GENCODE Comprehensive,3,3
FGF9,ENSG00000102678.7,GENCODE Primary,1,1
FGF9,ENSG00000102678.7,Protein Coding (contains an ORF),1,1
FGFBP1,ENSG00000137440.5,GENCODE Basic,1,1
FGFBP1,ENSG00000137440.5,GENCODE Comprehensive,1,1
FGFBP1,ENSG00000137440.5,GENCODE Primary,1,1
FGFBP1,ENSG00000137440.5,Protein Coding (contains an ORF),1,1
FGFBP2,ENSG00000137441.8,GENCODE Basic,1,1
FGFBP2,ENSG00000137441.8,GENCODE Comprehensive,2,2
FGFBP2,ENSG00000137441.8,GENCODE Primary,1,1
FGFBP2,ENSG00000137441.8,Protein Coding (contains an ORF),1,1
FGFBP3,ENSG00000174721.10,GENCODE Basic,1,1
FGFBP3,ENSG00000174721.10,GENCODE Comprehensive,1,1
FGFBP3,ENSG00000174721.10,GENCODE Primary,1,1
FGFBP3,ENSG00000174721.10,Protein Coding (contains an ORF),1,1
FGFR1,ENSG00000077782.23,GENCODE Basic,12,>10
FGFR1,ENSG00000077782.23,GENCODE Comprehensive,47,>10
FGFR1,ENSG00000077782.23,GENCODE Primary,6,6
FGFR1,ENSG00000077782.23,Protein Coding (contains an ORF),20,>10
FGFR1OP2,ENSG00000111790.14,GENCODE Basic,3,3
FGFR1OP2,ENSG00000111790.14,GENCODE Comprehensive,6,6
FGFR1OP2,ENSG00000111790.14,GENCODE Primary,2,2
FGFR1OP2,ENSG00000111790.14,Protein Coding (contains an ORF),4,4
FGFR2,ENSG00000066468.24,GENCODE Basic,17,>10
FGFR2,ENSG00000066468.24,GENCODE Comprehensive,36,>10
FGFR2,ENSG00000066468.24,GENCODE Primary,10,10
FGFR2,ENSG00000066468.24,Protein Coding (contains an ORF),21,>10
FGFR3,ENSG00000068078.20,GENCODE Basic,3,3
FGFR3,ENSG00000068078.20,GENCODE Comprehensive,8,8
FGFR3,ENSG00000068078.20,GENCODE Primary,3,3
FGFR3,ENSG00000068078.20,Protein Coding (contains an ORF),4,4
FGFR4,ENSG00000160867.15,GENCODE Basic,4,4
FGFR4,ENSG00000160867.15,GENCODE Comprehensive,13,>10
FGFR4,ENSG00000160867.15,GENCODE Primary,3,3
FGFR4,ENSG00000160867.15,Protein Coding (contains an ORF),7,7
FGFRL1,ENSG00000127418.15,GENCODE Basic,4,4
FGFRL1,ENSG00000127418.15,GENCODE Comprehensive,7,7
FGFRL1,ENSG00000127418.15,GENCODE Primary,3,3
FGFRL1,ENSG00000127418.15,Protein Coding (contains an ORF),6,6
FGG,ENSG00000171557.17,GENCODE Basic,4,4
FGG,ENSG00000171557.17,GENCODE Comprehensive,9,9
FGG,ENSG00000171557.17,GENCODE Primary,3,3
FGG,ENSG00000171557.17,Protein Coding (contains an ORF),6,6
FGGY,ENSG00000172456.18,GENCODE Basic,4,4
FGGY,ENSG00000172456.18,GENCODE Comprehensive,23,>10
FGGY,ENSG00000172456.18,GENCODE Primary,1,1
FGGY,ENSG00000172456.18,Protein Coding (contains an ORF),6,6
FGL1,ENSG00000104760.17,GENCODE Basic,6,6
FGL1,ENSG00000104760.17,GENCODE Comprehensive,10,10
FGL1,ENSG00000104760.17,GENCODE Primary,2,2
FGL1,ENSG00000104760.17,Protein Coding (contains an ORF),6,6
FGL2,ENSG00000127951.8,GENCODE Basic,1,1
FGL2,ENSG00000127951.8,GENCODE Comprehensive,2,2
FGL2,ENSG00000127951.8,GENCODE Primary,1,1
FGL2,ENSG00000127951.8,Protein Coding (contains an ORF),1,1
FGR,ENSG00000000938.13,GENCODE Basic,3,3
FGR,ENSG00000000938.13,GENCODE Comprehensive,6,6
FGR,ENSG00000000938.13,GENCODE Primary,1,1
FGR,ENSG00000000938.13,Protein Coding (contains an ORF),5,5
FH,ENSG00000091483.8,GENCODE Basic,2,2
FH,ENSG00000091483.8,GENCODE Comprehensive,7,7
FH,ENSG00000091483.8,GENCODE Primary,2,2
FH,ENSG00000091483.8,Protein Coding (contains an ORF),2,2
FHAD1,ENSG00000142621.21,GENCODE Basic,6,6
FHAD1,ENSG00000142621.21,GENCODE Comprehensive,24,>10
FHAD1,ENSG00000142621.21,GENCODE Primary,6,6
FHAD1,ENSG00000142621.21,Protein Coding (contains an ORF),11,>10
FHDC1,ENSG00000137460.10,GENCODE Basic,1,1
FHDC1,ENSG00000137460.10,GENCODE Comprehensive,1,1
FHDC1,ENSG00000137460.10,GENCODE Primary,1,1
FHDC1,ENSG00000137460.10,Protein Coding (contains an ORF),1,1
FHIP1A,ENSG00000164142.16,GENCODE Basic,2,2
FHIP1A,ENSG00000164142.16,GENCODE Comprehensive,8,8
FHIP1A,ENSG00000164142.16,GENCODE Primary,1,1
FHIP1A,ENSG00000164142.16,Protein Coding (contains an ORF),6,6
FHIP1B,ENSG00000051009.11,GENCODE Basic,3,3
FHIP1B,ENSG00000051009.11,GENCODE Comprehensive,5,5
FHIP1B,ENSG00000051009.11,GENCODE Primary,3,3
FHIP1B,ENSG00000051009.11,Protein Coding (contains an ORF),3,3
FHIP2A,ENSG00000151553.16,GENCODE Basic,3,3
FHIP2A,ENSG00000151553.16,GENCODE Comprehensive,4,4
FHIP2A,ENSG00000151553.16,GENCODE Primary,2,2
FHIP2A,ENSG00000151553.16,Protein Coding (contains an ORF),4,4
FHIP2B,ENSG00000158863.22,GENCODE Basic,1,1
FHIP2B,ENSG00000158863.22,GENCODE Comprehensive,12,>10
FHIP2B,ENSG00000158863.22,GENCODE Primary,1,1
FHIP2B,ENSG00000158863.22,Protein Coding (contains an ORF),1,1
FHIT,ENSG00000189283.11,GENCODE Basic,3,3
FHIT,ENSG00000189283.11,GENCODE Comprehensive,6,6
FHIT,ENSG00000189283.11,GENCODE Primary,2,2
FHIT,ENSG00000189283.11,Protein Coding (contains an ORF),3,3
FHL1,ENSG00000022267.19,GENCODE Basic,14,>10
FHL1,ENSG00000022267.19,GENCODE Comprehensive,30,>10
FHL1,ENSG00000022267.19,GENCODE Primary,4,4
FHL1,ENSG00000022267.19,Protein Coding (contains an ORF),25,>10
FHL2,ENSG00000115641.19,GENCODE Basic,8,8
FHL2,ENSG00000115641.19,GENCODE Comprehensive,10,10
FHL2,ENSG00000115641.19,GENCODE Primary,5,5
FHL2,ENSG00000115641.19,Protein Coding (contains an ORF),9,9
FHL3,ENSG00000183386.11,GENCODE Basic,1,1
FHL3,ENSG00000183386.11,GENCODE Comprehensive,4,4
FHL3,ENSG00000183386.11,GENCODE Primary,1,1
FHL3,ENSG00000183386.11,Protein Coding (contains an ORF),1,1
FHL5,ENSG00000112214.11,GENCODE Basic,3,3
FHL5,ENSG00000112214.11,GENCODE Comprehensive,3,3
FHL5,ENSG00000112214.11,GENCODE Primary,1,1
FHL5,ENSG00000112214.11,Protein Coding (contains an ORF),3,3
FHOD1,ENSG00000135723.14,GENCODE Basic,1,1
FHOD1,ENSG00000135723.14,GENCODE Comprehensive,10,10
FHOD1,ENSG00000135723.14,GENCODE Primary,1,1
FHOD1,ENSG00000135723.14,Protein Coding (contains an ORF),1,1
FHOD3,ENSG00000134775.16,GENCODE Basic,4,4
FHOD3,ENSG00000134775.16,GENCODE Comprehensive,9,9
FHOD3,ENSG00000134775.16,GENCODE Primary,4,4
FHOD3,ENSG00000134775.16,Protein Coding (contains an ORF),7,7
FIBCD1,ENSG00000130720.13,GENCODE Basic,3,3
FIBCD1,ENSG00000130720.13,GENCODE Comprehensive,7,7
FIBCD1,ENSG00000130720.13,GENCODE Primary,2,2
FIBCD1,ENSG00000130720.13,Protein Coding (contains an ORF),5,5
FIBIN,ENSG00000176971.4,GENCODE Basic,1,1
FIBIN,ENSG00000176971.4,GENCODE Comprehensive,1,1
FIBIN,ENSG00000176971.4,GENCODE Primary,1,1
FIBIN,ENSG00000176971.4,Protein Coding (contains an ORF),1,1
FIBP,ENSG00000172500.13,GENCODE Basic,3,3
FIBP,ENSG00000172500.13,GENCODE Comprehensive,12,>10
FIBP,ENSG00000172500.13,GENCODE Primary,3,3
FIBP,ENSG00000172500.13,Protein Coding (contains an ORF),3,3
FICD,ENSG00000198855.7,GENCODE Basic,3,3
FICD,ENSG00000198855.7,GENCODE Comprehensive,5,5
FICD,ENSG00000198855.7,GENCODE Primary,2,2
FICD,ENSG00000198855.7,Protein Coding (contains an ORF),4,4
FIG4,ENSG00000112367.12,GENCODE Basic,12,>10
FIG4,ENSG00000112367.12,GENCODE Comprehensive,33,>10
FIG4,ENSG00000112367.12,GENCODE Primary,7,7
FIG4,ENSG00000112367.12,Protein Coding (contains an ORF),12,>10
FIGLA,ENSG00000183733.6,GENCODE Basic,1,1
FIGLA,ENSG00000183733.6,GENCODE Comprehensive,1,1
FIGLA,ENSG00000183733.6,GENCODE Primary,1,1
FIGLA,ENSG00000183733.6,Protein Coding (contains an ORF),1,1
FIGN,ENSG00000182263.14,GENCODE Basic,2,2
FIGN,ENSG00000182263.14,GENCODE Comprehensive,3,3
FIGN,ENSG00000182263.14,GENCODE Primary,1,1
FIGN,ENSG00000182263.14,Protein Coding (contains an ORF),2,2
FIGNL1,ENSG00000132436.13,GENCODE Basic,5,5
FIGNL1,ENSG00000132436.13,GENCODE Comprehensive,9,9
FIGNL1,ENSG00000132436.13,GENCODE Primary,2,2
FIGNL1,ENSG00000132436.13,Protein Coding (contains an ORF),9,9
FIGNL2,ENSG00000261308.4,GENCODE Basic,1,1
FIGNL2,ENSG00000261308.4,GENCODE Comprehensive,1,1
FIGNL2,ENSG00000261308.4,GENCODE Primary,1,1
FIGNL2,ENSG00000261308.4,Protein Coding (contains an ORF),1,1
